town,lat,lng
ANG MO KIO,1.370017,103.84945
BEDOK,1.324039,103.930036
BISHAN,1.351236,103.848456
BUKIT BATOK,1.349073,103.749664
BUKIT MERAH,1.281906,103.823919
BUKIT PANJANG,1.378436,103.761767
BUKIT TIMAH,1.330714,103.797633
CENTRAL,1.304314,103.831939
CHOA CHU KANG,1.385092,103.744322
CLEMENTI,1.315303,103.765244
GEYLANG,1.321382,103.871414
HOUGANG,1.371292,103.892161
JURONG EAST,1.333415,103.742119
JURONG WEST,1.338883,103.706208
KALLANG/WHAMPOA,1.311469,103.8714
MARINE PARADE,1.30272,103.905248
PASIR RIS,1.372411,103.949369
PUNGGOL,1.405264,103.902097
QUEENSTOWN,1.294442,103.806114
SEMBAWANG,1.449025,103.820153
SENGKANG,1.391653,103.895133
SERANGOON,1.349944,103.873092
TAMPINES,1.352528,103.945322
TOA PAYOH,1.332703,103.847808
WOODLANDS,1.437094,103.786483
YISHUN,1.429464,103.835239
