name,town
kml_52,ANG MO KIO
kml_1,BEDOK
kml_51,BISHAN
kml_2,BOON LAY
kml_3,BUKIT BATOK
kml_4,BUKIT MERAH
kml_5,BUKIT PANJANG
kml_6,BUKIT TIMAH
kml_7,CENTRAL WATER CATCHMENT
kml_8,CHANGI
kml_38,CHANGI BAY
kml_9,CHOA CHU KANG
kml_10,CLEMENTI
kml_40,DOWNTOWN CORE
kml_53,GEYLANG
kml_11,HOUGANG
kml_12,JURONG EAST
kml_13,JURONG WEST
kml_22,KALLANG
kml_23,LIM CHU KANG
kml_50,MANDAI
kml_41,MARINA EAST
kml_42,MARINA SOUTH
kml_39,MARINE PARADE
kml_43,MUSEUM
kml_44,NEWTON
kml_24,NORTH-EASTERN ISLANDS
kml_25,NOVENA
kml_45,ORCHARD
kml_46,OUTRAM
kml_14,PASIR RIS
kml_54,PAYA LEBAR
kml_15,PIONEER
kml_16,PUNGGOL
kml_17,QUEENSTOWN
kml_34,RIVER VALLEY
kml_35,ROCHOR
kml_18,SELETAR
kml_19,SEMBAWANG
kml_20,SENGKANG
kml_21,SERANGOON
kml_26,SIMPANG
kml_36,SINGAPORE RIVER
kml_27,SOUTHERN ISLANDS
kml_37,STRAITS VIEW
kml_28,SUNGEI KADUT
kml_47,TAMPINES
kml_48,TANGLIN
kml_49,TENGAH
kml_29,TOA PAYOH
kml_30,TUAS
kml_31,WESTERN ISLANDS
kml_32,WESTERN WATER CATCHMENT
kml_33,WOODLANDS
kml_55,YISHUN
